Category,Name,Price,Colors,Image,Product Link
Men,2-pack Slim Fit Ribbed Tank Tops,$ 19.99,"Black/white, White, Gray melange/black",https://image.hm.com/assets/hm/0f/b2/0fb232d5c255fe7627ee2ba51ca16cf61505785b.jpg,https://www2.hm.com/en_us/productpage.1216838001.html
Men,Slim-Fit Fine-Knit T-Shirt,$ 24.99,"White, Black, Sage green, Dark beige",https://image.hm.com/assets/hm/f8/06/f806cec5b9fd8f9dcd353b543ed193f920c02bf0.jpg,https://www2.hm.com/en_us/productpage.1251427001.html
Men,Loose Denim Cargo Shorts,$ 34.99,"Denim black, Light denim blue",https://image.hm.com/assets/hm/88/08/88086a2cc4af2f1e5084df82cb1fa2b497f5c57c.jpg,https://www2.hm.com/en_us/productpage.1246011002.html
Men,Regular-Fit Hole-Knit Polo Shirt,$ 34.99,"Light blue, White, Black",https://image.hm.com/assets/hm/c5/28/c528524e37761599aa15662853d786b342fa76c7.jpg,https://www2.hm.com/en_us/productpage.1259901002.html
Men,Slim Fit Fine-Knit Sweater,$ 24.99,"Dark beige, Dark gray, Black, Taupe, Navy blue, Beige, White",https://image.hm.com/assets/hm/ee/9a/ee9a3b4e477149cf57744d20c8e60108946e888f.jpg,https://www2.hm.com/en_us/productpage.1232260007.html
Men,Loose Jeans,$ 34.99,"Pale denim blue, Black, Dark denim blue, Dark denim blue",https://image.hm.com/assets/hm/f3/6e/f36e2e8cc503485077db27ea358f3d9486d314da.jpg,https://www2.hm.com/en_us/productpage.1096385010.html
Men,2-Pack Sports Shorts with DryMove™,$ 29.99,"Dark gray/black, Black",https://image.hm.com/assets/hm/52/00/5200ccc262d65fd3531932b36a91bef681d4fee8.jpg,https://www2.hm.com/en_us/productpage.1200113008.html
Men,Swim Shorts,$ 17.99,"Green, Forest green, Light blue, Navy blue, White, Light blue",https://image.hm.com/assets/hm/d5/b6/d5b6af7de6b0291b4855af23239dc1ba3ab1afc3.jpg,https://www2.hm.com/en_us/productpage.1265997007.html
Men,Swim shorts,$ 17.99,"Black, Light beige, Light blue",https://image.hm.com/assets/hm/43/6b/436b4353cd1673dbb8079a410bcecd3764d0c96a.jpg,https://www2.hm.com/en_us/productpage.1266014003.html
Men,Regular-Fit Sports Tank Top with DryMove™,$ 9.99,"Black, Black, White",https://image.hm.com/assets/hm/cb/c7/cbc707325916a7d0b18f2bd1cb478d92c21dbf64.jpg,https://www2.hm.com/en_us/productpage.1198604001.html
Men,Oversized Fit Cotton T-shirt,$ 17.99,"Light gray melange, Dark beige, White, White, Dark green, Black",https://image.hm.com/assets/hm/27/19/27196f141a9d5e989ff48f7c376474ceb89c9c9a.jpg,https://www2.hm.com/en_us/productpage.1035207036.html
